name,category,node_count,classes,reachable_classes,tree_dag,tree_tree,sharing_dag,sharing_tree,chosen_dag,sharing_changed_term,sharing_gain,dag_delta_pct,treeopt_dag,exact_status,exact_dag,gap_closed_frac,tree_arm_ns,scoped_ns
glyph32:U+003D,glyph,183,1514,170,231,405,231,405,231,false,0,0.0000,231,UNSOLVED,231,NaN,182584,407125
glyph32:U+003E,glyph,295,2710,416,519,795,591,997,519,true,0,0.0000,519,UNSOLVED,519,NaN,472750,1025250
glyph32:U+003F,glyph,6716,5000,3176,12176,128907,12172,142755,12172,true,4,-0.0329,12176,UNSOLVED,12172,NaN,1981250,4267333
glyph32:U+0040,glyph,12056,5226,5226,23527,409366,23527,409366,23527,false,0,0.0000,23527,OPTIMAL,23527,NaN,2641083,5489334
glyph32:U+0041,glyph,1605,4501,1338,2672,10844,2702,13444,2672,true,0,0.0000,2672,UNSOLVED,2672,NaN,1125583,2570541
glyph32:U+0042,glyph,4470,4975,2650,7970,57563,8076,75979,7970,true,0,0.0000,7957,UNSOLVED,7957,NaN,1683708,3790083
glyph32:U+0043,glyph,5129,4996,2830,9459,66750,9377,96562,9377,true,82,-0.8669,9423,UNSOLVED,9377,NaN,1679084,3791375
glyph32:U+0044,glyph,2606,4367,1933,4506,31079,4562,43095,4506,true,0,0.0000,4497,UNSOLVED,4497,NaN,1318667,3002292
glyph32:U+0045,glyph,247,2779,368,335,553,335,553,335,true,0,0.0000,335,UNSOLVED,329,NaN,426542,924833
glyph32:U+0046,glyph,215,2531,329,285,471,285,471,285,true,0,0.0000,285,UNSOLVED,279,NaN,379375,802042
glyph32:U+0047,glyph,4563,4983,2695,8262,54984,8340,84072,8262,true,0,0.0000,8222,UNSOLVED,8222,NaN,1698792,3839542
glyph32:U+0048,glyph,247,2792,367,314,562,314,562,314,true,0,0.0000,314,UNSOLVED,307,NaN,426542,928500
glyph32:U+0049,glyph,391,3416,562,626,1041,681,1076,626,true,0,0.0000,626,UNSOLVED,626,NaN,621875,1383708
glyph32:U+004A,glyph,2425,4282,1868,4339,28910,4256,44227,4256,true,83,-1.9129,4191,UNSOLVED,4191,NaN,1296875,2941583
glyph32:U+004B,glyph,617,4576,921,1047,2835,1058,2842,1047,true,0,0.0000,1047,UNSOLVED,1047,NaN,945291,2167167
glyph32:U+004C,glyph,151,3354,420,185,307,185,307,185,true,0,0.0000,185,UNSOLVED,169,NaN,519000,1110584
glyph32:U+004D,glyph,2345,4914,1703,4133,17380,4194,18664,4133,true,0,0.0000,4133,UNSOLVED,4133,NaN,1420833,3202625
glyph32:U+004E,glyph,1399,4650,1324,2457,8960,2453,11082,2453,true,4,-0.1628,2457,UNSOLVED,2453,NaN,1175458,2668208
glyph32:U+004F,glyph,5945,5000,3006,10769,94867,10720,120001,10720,true,49,-0.4550,10753,UNSOLVED,10720,NaN,1895125,4149833
glyph32:U+0050,glyph,2409,4880,1714,3990,21912,3990,21912,3990,true,0,0.0000,3990,UNSOLVED,3990,NaN,1326500,2979875
glyph32:U+0051,glyph,6053,5000,3029,10749,96355,10703,120578,10703,true,46,-0.4279,10741,UNSOLVED,10703,NaN,1856584,4076875
glyph32:U+0052,glyph,2710,4509,2000,4725,31606,4787,44830,4725,true,0,0.0000,4716,UNSOLVED,4716,NaN,1369000,3136708
glyph32:U+0053,glyph,7616,5000,3414,14066,151765,14066,151765,14066,false,0,0.0000,14066,UNSOLVED,14066,NaN,2063833,4462375
glyph32:U+0054,glyph,183,3521,466,227,394,227,394,227,true,0,0.0000,227,UNSOLVED,214,NaN,543083,1208000
glyph32:U+0055,glyph,2899,4686,2079,5170,34067,5083,52429,5083,true,87,-1.6828,5006,UNSOLVED,5006,NaN,1464541,3299708
glyph32:U+0056,glyph,1573,4611,1318,2647,11054,2659,14174,2647,true,0,0.0000,2647,UNSOLVED,2647,NaN,1121500,2548875
glyph32:U+0057,glyph,7232,5000,3271,13499,140483,13493,129516,13493,true,6,-0.0444,13494,UNSOLVED,13493,NaN,1991792,4271875
glyph32:U+0058,glyph,343,3607,623,652,963,696,991,652,true,0,0.0000,652,UNSOLVED,652,NaN,631834,1413666
glyph32:U+0059,glyph,263,2680,411,437,687,503,851,437,true,0,0.0000,437,UNSOLVED,437,NaN,459458,972250
glyph32:U+005A,glyph,255,3357,457,393,611,401,619,393,true,0,0.0000,393,UNSOLVED,393,NaN,530916,1201875
glyph32:U+005B,glyph,183,1519,174,234,400,234,400,234,false,0,0.0000,234,UNSOLVED,234,NaN,200541,438542
glyph32:U+005C,glyph,127,3444,446,166,266,166,266,166,true,0,0.0000,172,UNSOLVED,166,NaN,519750,1129083
glyph32:U+005D,glyph,183,1517,176,244,410,244,410,244,false,0,0.0000,244,UNSOLVED,244,NaN,201375,419750
glyph32:U+005E,glyph,199,2891,416,319,501,319,501,319,true,0,0.0000,319,UNSOLVED,319,NaN,457791,983083
glyph32:U+005F,glyph,119,2994,318,129,216,129,216,129,true,0,0.0000,129,OPTIMAL,129,NaN,392500,846667
glyph32:U+0060,glyph,1722,4684,1341,2827,13614,2838,16562,2827,true,0,0.0000,2827,UNSOLVED,2827,NaN,1162375,2648584
glyph32:U+0061,glyph,5743,5000,3007,10612,88199,10563,112736,10563,true,49,-0.4617,10600,UNSOLVED,10563,NaN,1877708,4098500
glyph32:U+0062,glyph,5129,4995,2824,9434,65528,9353,94907,9353,true,81,-0.8586,9394,UNSOLVED,9353,NaN,1737833,3851792
glyph32:U+0063,glyph,4671,4984,2700,8419,57148,8508,87608,8419,true,0,0.0000,8383,UNSOLVED,8383,NaN,1689375,3793958
glyph32:U+0064,glyph,5864,5000,3022,10763,92357,10715,116920,10715,true,48,-0.4460,10755,UNSOLVED,10715,NaN,1881541,4135292
glyph32:U+0065,glyph,4872,4989,2751,8766,59599,8863,90292,8766,true,0,0.0000,8738,UNSOLVED,8738,NaN,1718041,3799583
glyph32:U+0066,glyph,2364,4879,1682,3955,20783,3955,20783,3955,true,0,0.0000,3955,UNSOLVED,3955,NaN,1311375,2973458
glyph32:U+0067,glyph,7009,5000,3208,12799,135627,12804,148478,12799,true,0,0.0000,12799,UNSOLVED,12799,NaN,1983209,4303875
glyph32:U+0068,glyph,2931,4717,2082,5045,34505,5113,48941,5045,true,0,0.0000,5036,UNSOLVED,5036,NaN,1453916,3293458
glyph32:U+0069,glyph,2123,4726,1455,3510,16899,3514,17939,3510,true,0,0.0000,3510,UNSOLVED,3510,NaN,1164875,2668500
glyph32:U+006A,glyph,4293,4971,2597,7523,50935,7576,78234,7523,true,0,0.0000,7463,UNSOLVED,7463,NaN,1700750,3811375
glyph32:U+006B,glyph,1460,4454,1304,2517,9653,2525,11733,2517,true,0,0.0000,2517,UNSOLVED,2517,NaN,1054208,2487250
glyph32:U+006C,glyph,323,3005,465,522,844,600,1084,522,true,0,0.0000,522,UNSOLVED,522,NaN,526916,1151917
glyph32:U+006D,glyph,5289,4998,2856,9624,72339,9596,90621,9596,true,28,-0.2909,9611,UNSOLVED,9596,NaN,1777084,3914125
glyph32:U+006E,glyph,2264,4826,1631,3759,20193,3760,20453,3759,true,0,0.0000,3759,UNSOLVED,3759,NaN,1247542,2884084
glyph32:U+006F,glyph,5716,5000,2947,10262,81341,10203,107788,10203,true,59,-0.5749,10226,UNSOLVED,10203,NaN,1787333,3986458
glyph32:U+0070,glyph,5406,4999,2901,9922,74045,9861,100440,9861,true,61,-0.6148,9882,UNSOLVED,9861,NaN,1818666,3983291
glyph32:U+0071,glyph,5046,4992,2802,9172,60785,9091,91842,9091,true,81,-0.8831,9160,UNSOLVED,9091,NaN,1764750,3895166
glyph32:U+0072,glyph,2456,4912,1804,4180,21630,4180,21630,4180,true,0,0.0000,4180,UNSOLVED,4180,NaN,1367000,3120250
glyph32:U+0073,glyph,6929,5000,3201,12680,135729,12689,149255,12680,true,0,0.0000,12680,UNSOLVED,12680,NaN,1992125,4316500
glyph32:U+0074,glyph,2421,4905,1796,4109,21246,4101,21648,4101,true,8,-0.1947,4109,UNSOLVED,4101,NaN,1342542,3092750
glyph32:U+0075,glyph,2493,4898,1809,4153,22609,4146,23279,4146,true,7,-0.1686,4153,UNSOLVED,4146,NaN,1325583,3006541
glyph32:U+0076,glyph,1115,4224,1180,1760,7420,1752,8572,1752,true,8,-0.4545,1760,UNSOLVED,1752,NaN,1025958,2327375
glyph32:U+0077,glyph,3663,4937,2492,6602,46916,6669,59484,6602,true,0,0.0000,6589,UNSOLVED,6589,NaN,1677125,3773458
glyph32:U+0078,glyph,343,3589,616,639,963,683,991,639,true,0,0.0000,639,UNSOLVED,639,NaN,647542,1449458
glyph32:U+0079,glyph,3530,4915,2436,6403,42411,6371,63856,6371,true,32,-0.4998,6283,UNSOLVED,6283,NaN,1556541,3603333
glyph32:U+007A,glyph,255,3358,458,393,611,401,619,393,true,0,0.0000,393,UNSOLVED,393,NaN,562958,1187084
