rule_set,num_rules,fingerprint,expr_name,origin,tier,node_count,app_target,app_actual,sweeps_actual,evals_actual,apps_per_sweep,cost,ended,ended_at_apps
dup:124:interleave:1,124,6333431113f09bde,train_b31_f04_02754,train,blitz,8,204800,43,3,3686,11,78,quiesced,43
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,25,26,2,2121,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,50,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,100,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,200,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,400,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,800,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,1600,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,3200,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,6400,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,12800,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,25600,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,51200,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,102400,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b01_f03_00043,dev,blitz,9,204800,46,3,3857,13,22,quiesced,46
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,25,27,2,2068,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,50,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,100,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,200,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,400,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,800,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,1600,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,3200,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,6400,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,12800,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,25600,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,51200,47,3,3680,13,141,quiesced,47
dup:124:interleave:1,124,6333431113f09bde,dev_b33_f05_00747,dev,blitz,9,102400,47,3,3680,13,141,quiesced,47
