name,category,budget,node_count,classes,reachable_classes,free_classes,branch_product_log10,stop,greedy_dag,greedy_tree,greedy_reported,treeopt_dag,treeopt_tree,exact_status,exact_dag,exact_lower_bound,exact_expansions,exact_ms,ratio,loss_dp,loss_sharing,cycle_priced_used_by_exact,cycle_priced_total,reported_matches_returned,reported_delta,dominated_candidates,dp_loss_frac,objective_miss_frac
glyph32:U+002C,glyph,production,1694,4678,1366,386,204.531,ClassCap,2779,12714,12714,2779,12714,UNSOLVED,2779,150,4718592,4000.6,NaN,0,0,3,3,true,0,1916,0.000000,0.000000
glyph32:U+002D,glyph,production,119,1032,113,44,26.156,Quiesced,133,232,232,133,232,OPTIMAL,133,133,634354,320.5,1.000000,0,0,0,0,true,0,344,0.000000,0.000000
glyph32:U+002E,glyph,production,1855,4681,1354,395,207.532,ClassCap,2881,14371,14371,2881,14371,UNSOLVED,2881,150,5335040,4000.6,NaN,0,0,3,3,true,0,1925,0.000000,0.000000
glyph32:U+002F,glyph,production,127,3444,446,204,108.704,ClassCap,166,266,4611686018427388097,172,263,UNSOLVED,166,63,14495744,4000.6,NaN,-6,0,42,42,false,4611686018427387831,1176,-0.036145,0.011278
glyph32:U+0030,glyph,production,5402,5000,2903,504,178.146,ClassCap,9970,72707,18446744073709551615,9926,68325,UNSOLVED,9926,212,14321664,4000.3,NaN,44,0,12,12,false,-72708,1403,0.004413,0.060269
glyph32:U+0031,glyph,production,1452,4418,1323,293,174.034,ClassCap,2520,9316,9316,2520,9316,UNSOLVED,2520,156,4308992,4000.1,NaN,0,0,8,8,true,0,1498,0.000000,0.000000
glyph32:U+0032,glyph,production,3891,4945,2533,600,263.100,ClassCap,6980,50145,18446744073709551615,6967,42461,UNSOLVED,6967,185,10633216,4000.8,NaN,13,0,14,14,false,-50146,1208,0.001862,0.153236
glyph32:U+0033,glyph,production,6993,5000,3209,236,74.787,ClassCap,12797,136409,18446744073709551615,12797,136409,UNSOLVED,12797,300,14467072,4000.3,NaN,0,0,9,9,false,-136410,1516,0.000000,0.000000
glyph32:U+0034,glyph,production,1637,4557,1337,337,187.647,ClassCap,2751,10916,10916,2751,10916,UNSOLVED,2751,148,6299648,4001.3,NaN,0,0,8,8,true,0,1697,0.000000,0.000000
glyph32:U+0035,glyph,production,4546,4981,2683,578,228.709,ClassCap,8145,54720,18446744073709551615,8105,54468,UNSOLVED,8105,190,10424320,4000.1,NaN,40,0,12,12,false,-54721,1333,0.004911,0.004605
glyph32:U+0036,glyph,production,8067,5000,3663,221,66.528,ClassCap,15249,245969,245969,15249,245969,UNSOLVED,15249,312,15001600,3839.5,NaN,0,0,0,0,true,0,1109,0.000000,0.000000
glyph32:U+0037,glyph,production,191,2791,374,197,99.423,ClassCap,288,442,9223372036854776117,288,442,UNSOLVED,288,68,14307328,4000.6,NaN,0,0,28,28,false,9223372036854775675,868,0.000000,0.000000
